"anon.id","gender.num","degree.num","gender","degree"
"a",1,4,"female","social_research"
"b",1,1,"female","digital"
"c",2,1,"male","digital"
"d",99,99,NA,NA
"e",1,4,"female","social_research"
"f",1,1,"female","digital"
"g",1,2,"female","global"
"h",1,1,"female","digital"
"i",2,3,"male","other"
"j",1,3,"female","other"
"k",2,2,"male","global"
"l",2,1,"male","digital"
"m",1,2,"female","global"
"n",1,1,"female","digital"
"o",1,1,"female","digital"
"p",1,4,"female","social_research"
"q",1,4,"female","social_research"
"r",2,3,"male","other"
"s",1,4,"female","social_research"
"t",1,4,"female","social_research"
"u",99,99,NA,NA
"v",1,4,"female","social_research"
"w",1,4,"female","social_research"
"x",1,4,"female","social_research"
"y",1,4,"female","social_research"
